Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
006650,KR7006650006,대한유화,KOSPI,,159500,2,-4100,-2.51,161700,163500,159000,7853,1263067100,1036750000000,6500000,STK
008730,KR7008730004,율촌화학,KOSPI,,41750,2,-1400,-3.24,43150,43200,41700,13607,573562950,1035400000000,24800000,STK
267270,KR7267270007,현대건설기계,KOSPI,,52300,2,-1200,-2.24,53300,53500,52100,10324,542659400,1030351473900,19700793,STK
195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,벤처기업부,36150,2,-750,-2.03,36900,36900,36050,20525,746034800,1024125559650,28329891,KSQ
298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,21400,2,-250,-1.15,21800,21800,21150,70338,1502761050,1022667779600,47788214,KSQ
122870,KR7122870009,와이지엔터테인먼트,KOSDAQ,벤처기업부,54500,2,-100,-0.18,55000,55000,53600,60295,3270323700,1016957955500,18659779,KSQ
019170,KR7019170000,신풍제약,KOSPI,,19010,2,-1090,-5.42,19500,19600,18880,273700,5246916030,1007244659900,52984990,STK
137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,44250,2,-1850,-4.01,45850,45900,44100,132904,5947061600,1006298011500,22741198,KSQ
007390,KR7007390008,네이처셀,KOSDAQ,중견기업부,16000,2,-390,-2.38,16300,16330,15850,144645,2313361060,1002194496000,62637156,KSQ
353200,KR7353200009,대덕전자,KOSPI,,20050,2,-600,-2.91,20500,20550,19960,120155,2423224670,990809346250,49416925,STK
213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,39900,2,-1950,-4.66,42100,42200,39550,47022,1906499800,990764042100,24831179,KSQ
395400,KR7395400005,SK리츠,KOSPI,,5040,2,-80,-1.56,5120,5120,5020,9535,48110910,990632558160,196554079,STK
009900,KR7009900002,명신산업,KOSPI,,18870,2,-660,-3.38,19420,19450,18630,110301,2090170750,990111409710,52470133,STK
003100,KR7003100005,선광,KOSDAQ,우량기업부,149700,1,300,0.2,148800,151400,148800,5437,815582300,988020000000,6600000,KSQ
178920,KR7178920005,PI첨단소재,KOSPI,,33300,2,-950,-2.77,34250,34300,33050,14969,500521150,977898522600,29366322,STK
185750,KR7185750007,종근당,KOSPI,,77300,2,-600,-0.77,78000,78000,77200,6426,498688700,971542267200,12568464,STK
020560,KR7020560009,아시아나항공,KOSPI,,13040,2,-280,-2.1,13300,13300,13010,52865,692011840,970329402560,74411764,STK
039130,KR7039130000,하나투어,KOSPI,,60200,2,-1000,-1.63,61400,61400,60100,11982,724641700,965558937000,16039185,STK
181710,KR7181710005,NHN,KOSPI,,26800,1,50,0.19,26750,26950,26500,12874,344903000,965260906400,36017198,STK
073240,KR7073240004,금호타이어,KOSPI,,3355,1,20,0.6,3450,3470,3340,632344,2153305610,963758262885,287260287,STK
022100,KR7022100002,포스코 ICT,KOSDAQ GLOBAL,우량기업부,6320,2,-250,-3.81,6550,6550,6250,279649,1775131730,960859487280,152034729,KSQ
001800,KR7001800002,오리온홀딩스,KOSPI,,15320,2,-120,-0.78,15300,15490,15240,9153,139906730,959727865040,62645422,STK
141080,KR7141080002,레고켐바이오,KOSDAQ GLOBAL,기술성장기업부,35800,2,-400,-1.1,36750,37050,35600,61579,2239865700,945531485200,26411494,KSQ
376300,KR7376300000,디어유,KOSDAQ,기술성장기업부,39850,2,-500,-1.24,40450,40550,39300,86076,3428572200,944566383100,23703046,KSQ
067160,KR7067160002,아프리카TV,KOSDAQ,우량기업부,82100,2,-1600,-1.91,82800,82900,81500,18565,1522852000,943720370700,11494767,KSQ
089860,KR7089860001,롯데렌탈,KOSPI,,25750,2,-350,-1.34,26000,26050,25750,3179,82219350,943327122250,36634063,STK
095660,KR7095660007,네오위즈,KOSDAQ,우량기업부,42200,2,-450,-1.06,42750,42900,41600,33342,1408696700,929822941800,22033719,KSQ
032500,KR7032500001,케이엠더블유,KOSDAQ,우량기업부,23350,2,-900,-3.71,24250,24250,23300,39879,940291200,929817618050,39820883,KSQ
330590,KR7330590001,롯데리츠,KOSPI,,3820,2,-20,-0.52,3840,3845,3820,7829,29982400,928141136880,242968884,STK
007700,KR7007700008,F&F홀딩스,KOSPI,,23700,2,-850,-3.46,24500,24550,23700,20039,481692900,927010497900,39114367,STK
348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,58200,2,-2200,-3.64,60000,60200,57600,62189,3648116100,920276733000,15812315,KSQ
009970,KR7009970005,영원무역홀딩스,KOSPI,,66600,2,-1900,-2.77,68200,68200,66100,4446,296596000,908130427200,13635592,STK
032350,KR7032350001,롯데관광개발,KOSPI,,12280,2,-320,-2.54,12610,12610,12260,67355,830992390,905805452520,73762659,STK
023590,KR7023590003,다우기술,KOSPI,,20150,2,-450,-2.18,20500,20550,20100,12023,243010000,904062332550,44866617,STK
003230,KR7003230000,삼양식품,KOSPI,,119800,2,-1900,-1.56,122800,122800,119000,9637,1156075100,902455197000,7533015,STK
005950,KR7005950001,이수화학,KOSPI,,32100,2,-800,-2.43,32100,33850,32050,540373,17765356850,897501362400,27959544,STK
