"행정구역(시군구)별","연령별",2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04
"행정구역(시군구)별","연령별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"울산광역시","15세",11602,11546,11523,11399,11246,11250,11222,11236,11168,11120,11071,10881,10809,10637,10573,10508,10449,10391,10334,10270,10241,10221,10131,10214,10167,10174,10143,10148,10228,10266,10250,10310,10338,10337,10418,10419,10506,10563,10671,10756
"울산광역시","16세",11189,11128,11132,11233,11313,11256,11214,11209,11339,11367,11401,11512,11542,11530,11461,11326,11177,11176,11148,11158,11089,11034,10988,10784,10720,10580,10472,10419,10347,10286,10239,10173,10162,10126,10038,10115,10093,10148,10122,10116
"울산광역시","17세",13277,13083,12849,12628,12422,12324,12235,12097,11869,11729,11598,11344,11143,11087,11107,11205,11277,11222,11178,11164,11286,11329,11357,11469,11485,11457,11411,11258,11109,11105,11073,11087,11025,10969,10920,10730,10669,10535,10443,10397
"울산광역시","18세",15250,15000,14679,14477,14321,14193,14023,13821,13720,13519,13398,13354,13210,12907,12569,12356,12124,12022,11954,11832,11632,11554,11446,11260,11061,10909,10800,10866,10958,10912,10900,10894,11063,11145,11232,11392,11408,11206,11043,10911
"울산광역시","19세",14687,14627,14696,14668,14664,14712,14711,14712,14770,14829,14839,14703,14607,14426,14257,14106,13922,13750,13556,13312,13148,12881,12718,12716,12621,12387,12033,11850,11661,11566,11463,11295,11032,10894,10845,10649,10524,10389,10282,10389
"울산광역시","20세",15051,14871,14690,14578,14495,14354,14373,14344,14163,14200,14218,14254,14275,14296,14318,14296,14302,14360,14365,14392,14434,14497,14447,14270,14137,14005,13737,13539,13399,13277,13104,12849,12693,12442,12290,12249,12129,11893,11605,11453
"울산광역시","21세",15862,15676,15590,15614,15545,15452,15336,15182,15129,14976,14898,14712,14563,14304,14099,13979,13892,13764,13791,13736,13584,13649,13673,13689,13719,13614,13629,13673,13678,13767,13798,13840,13851,13922,13953,13838,13672,13384,13085,12904
"울산광역시","22세",15923,15851,15751,15708,15711,15753,15773,15698,15681,15521,15390,15293,15202,15065,14958,14939,14874,14755,14594,14421,14312,14136,14048,13913,13793,13596,13418,13287,13223,13097,13081,13015,12830,12858,12923,12942,13080,13063,13093,13092
"울산광역시","23세",16091,15922,15827,15800,15707,15612,15534,15437,15343,15423,15360,15203,15121,15066,15018,14978,14963,14967,14950,14898,14852,14715,14555,14403,14333,14232,14073,14119,14046,13994,13871,13662,13505,13346,13313,13143,13078,12971,12812,12764
"울산광역시","24세",15707,15674,15632,15507,15455,15397,15372,15284,15327,15275,15345,15480,15446,15311,15131,15114,15010,14931,14853,14730,14675,14751,14672,14473,14450,14437,14311,14258,14262,14203,14198,14155,14074,13923,13770,13716,13704,13715,13621,13561
"울산광역시","25세",15533,15493,15309,15314,15251,15245,15180,15280,15254,15235,15217,15248,15123,15097,15121,15041,15042,14944,14921,14813,14808,14760,14768,14838,14820,14660,14617,14634,14540,14457,14393,14235,14156,14179,14126,13973,13949,13919,13914,13918
"울산광역시","26세",15453,15418,15584,15587,15611,15543,15564,15502,15442,15357,15175,15047,15040,14988,14830,14852,14764,14769,14697,14753,14758,14753,14740,14725,14662,14657,14671,14566,14563,14477,14445,14319,14260,14206,14265,14416,14395,14265,14237,14250
"울산광역시","27세",15329,15193,15196,15219,15175,15273,15217,15212,15263,15225,15252,15204,15139,15049,15248,15230,15243,15178,15198,15117,15063,14970,14774,14600,14660,14574,14417,14408,14373,14384,14323,14385,14347,14338,14336,14341,14295,14316,14321,14215
"울산광역시","28세",13907,13773,14016,14065,14149,14186,14196,14230,14337,14522,14797,15009,14999,14960,14927,14984,14999,15083,15050,15058,15117,15056,14984,14837,14817,14792,14930,14907,14896,14812,14812,14709,14668,14581,14442,14285,14376,14321,14188,14194
"울산광역시","29세",14009,14089,14073,14122,14133,14166,14244,14274,14126,14041,13875,13687,13741,13609,13784,13839,13906,13990,13987,14062,14155,14331,14596,14821,14809,14656,14610,14621,14627,14699,14685,14714,14760,14689,14635,14519,14393,14388,14581,14620
"울산광역시","30세",13662,13771,13690,13701,13659,13685,13761,13728,13869,13829,13813,13906,13895,13987,14007,14038,14015,14077,14073,14057,13893,13799,13621,13407,13478,13404,13577,13613,13644,13705,13727,13744,13820,14025,14281,14519,14495,14367,14357,14354
"울산광역시","31세",13508,13383,13435,13393,13445,13346,13300,13315,13299,13278,13400,13453,13461,13557,13527,13543,13539,13573,13655,13635,13765,13748,13707,13776,13717,13730,13711,13714,13739,13801,13811,13778,13603,13514,13372,13188,13274,13145,13364,13412
