Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005950,KR7005950001,이수화학,KOSPI,,36550,4,8400,29.84,30700,36550,30500,14073388,482916376850,1021921333200,27959544,STK
185750,KR7185750007,종근당,KOSPI,,81300,1,400,0.49,81500,81500,80200,19780,1603883500,1021816123200,12568464,STK
039130,KR7039130000,하나투어,KOSPI,,63400,2,-400,-0.63,64100,64200,62800,82630,5225776800,1016884329000,16039185,STK
395400,KR7395400005,SK리츠,KOSPI,,5140,3,0,0.0,5150,5150,5110,56105,287536360,1010287966060,196554079,STK
007700,KR7007700008,F&F홀딩스,KOSPI,,25800,1,50,0.19,25900,25900,25150,59935,1526400650,1009150668600,39114367,STK
007390,KR7007390008,네이처셀,KOSDAQ,중견기업부,16010,1,200,1.27,16010,16400,15830,456360,7342841780,1002820867560,62637156,KSQ
003090,KR7003090008,대웅,KOSPI,,17240,2,-40,-0.23,17300,17360,17080,70604,1215377040,1002367735200,58141980,STK
298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,20900,1,100,0.48,21000,21150,20350,388852,8053478950,998773672600,47788214,KSQ
095660,KR7095660007,네오위즈,KOSDAQ,우량기업부,45300,2,-450,-0.98,45700,46150,44800,129707,5886120750,998127470700,22033719,KSQ
032350,KR7032350001,롯데관광개발,KOSPI,,13570,2,-270,-1.95,13840,13850,13290,891143,11981657390,997174080400,73483720,STK
003100,KR7003100005,선광,KOSDAQ,우량기업부,149900,1,400,0.27,149500,150100,147400,43626,6463792200,989340000000,6600000,KSQ
089860,KR7089860001,롯데렌탈,KOSPI,,27000,1,50,0.19,26950,27050,26750,26768,720252850,989119701000,36634063,STK
141080,KR7141080002,레고켐바이오,KOSDAQ GLOBAL,기술성장기업부,36850,2,-400,-1.07,37400,37600,36550,187853,6925483500,973263553900,26411494,KSQ
330590,KR7330590001,롯데리츠,KOSPI,,3980,2,-20,-0.5,4000,4015,3970,119910,478181030,967016158320,242968884,STK
225570,KR7225570001,넥슨게임즈,KOSDAQ,중견기업부,14620,1,370,2.6,14310,14950,14300,745614,10895745790,961427194280,65761094,KSQ
001800,KR7001800002,오리온홀딩스,KOSPI,,15340,1,80,0.52,15230,15520,15220,61437,942377420,960980773480,62645422,STK
023590,KR7023590003,다우기술,KOSPI,,21350,2,-200,-0.93,21600,21650,21150,84629,1802844050,957902272950,44866617,STK
032500,KR7032500001,케이엠더블유,KOSDAQ,우량기업부,24050,2,-50,-0.21,24100,24300,24000,170765,4108131600,957692236150,39820883,KSQ
161890,KR7161890009,한국콜마,KOSPI,,41700,2,-750,-1.77,42750,42800,41700,107527,4545303450,954145206000,22881180,STK
